sk_loja,codigo_loja,nome_loja,tipo_loja,regiao,estado,cidade,bairro,area_m2,data_abertura,status_loja
1,LJ0001,Supermercado Unidade 1,Hipermercado,Sul,RJ,Rio de Janeiro,Jardins,437,2008-02-23,Ativa
2,LJ0002,Supermercado Unidade 2,Hipermercado,Nordeste,MG,Belo Horizonte,Moema,574,2008-04-16,Ativa
3,LJ0003,Supermercado Unidade 3,Supermercado,Centro-Oeste,PR,Campinas,Tatuapé,711,2008-06-08,Ativa
4,LJ0004,Supermercado Unidade 4,Supermercado,Norte,SC,Curitiba,Pinheiros,848,2008-07-31,Ativa
5,LJ0005,Supermercado Unidade 5,Supermercado,Sudeste,RS,Porto Alegre,Vila Mariana,985,2008-09-22,Ativa
6,LJ0006,Supermercado Unidade 6,Atacarejo,Sul,BA,Salvador,Santana,1122,2008-11-14,Ativa
7,LJ0007,Supermercado Unidade 7,Atacarejo,Nordeste,GO,Goiânia,Ipiranga,1259,2009-01-06,Ativa
8,LJ0008,Supermercado Unidade 8,Loja de Bairro,Centro-Oeste,PE,Recife,Butantã,1396,2009-02-28,Ativa
9,LJ0009,Supermercado Unidade 9,Loja de Bairro,Norte,CE,Fortaleza,Lapa,1533,2009-04-22,Ativa
10,LJ0010,Supermercado Unidade 10,Loja de Bairro,Sudeste,SP,Santos,Liberdade,1670,2009-06-14,Ativa
11,LJ0011,Supermercado Unidade 11,Hipermercado,Sul,RJ,Ribeirão Preto,Saúde,1807,2009-08-06,Ativa
12,LJ0012,Supermercado Unidade 12,Hipermercado,Nordeste,MG,São Paulo,Morumbi,1944,2009-09-28,Ativa
13,LJ0013,Supermercado Unidade 13,Supermercado,Centro-Oeste,PR,Rio de Janeiro,Perdizes,2081,2009-11-20,Ativa
14,LJ0014,Supermercado Unidade 14,Supermercado,Norte,SC,Belo Horizonte,Bela Vista,2218,2010-01-12,Ativa
15,LJ0015,Supermercado Unidade 15,Supermercado,Sudeste,RS,Campinas,Centro,2355,2010-03-06,Ativa
16,LJ0016,Supermercado Unidade 16,Atacarejo,Sul,BA,Curitiba,Jardins,2492,2010-04-28,Ativa
17,LJ0017,Supermercado Unidade 17,Atacarejo,Nordeste,GO,Porto Alegre,Moema,2629,2010-06-20,Ativa
18,LJ0018,Supermercado Unidade 18,Loja de Bairro,Centro-Oeste,PE,Salvador,Tatuapé,2766,2010-08-12,Ativa
19,LJ0019,Supermercado Unidade 19,Loja de Bairro,Norte,CE,Goiânia,Pinheiros,2903,2010-10-04,Ativa
20,LJ0020,Supermercado Unidade 20,Loja de Bairro,Sudeste,SP,Recife,Vila Mariana,3040,2010-11-26,Ativa
21,LJ0021,Supermercado Unidade 21,Hipermercado,Sul,RJ,Fortaleza,Santana,3177,2011-01-18,Ativa
22,LJ0022,Supermercado Unidade 22,Hipermercado,Nordeste,MG,Santos,Ipiranga,3314,2011-03-12,Ativa
23,LJ0023,Supermercado Unidade 23,Supermercado,Centro-Oeste,PR,Ribeirão Preto,Butantã,3451,2011-05-04,Ativa
24,LJ0024,Supermercado Unidade 24,Supermercado,Norte,SC,São Paulo,Lapa,3588,2011-06-26,Ativa
25,LJ0025,Supermercado Unidade 25,Supermercado,Sudeste,RS,Rio de Janeiro,Liberdade,3725,2011-08-18,Ativa
26,LJ0026,Supermercado Unidade 26,Atacarejo,Sul,BA,Belo Horizonte,Saúde,3862,2011-10-10,Ativa
27,LJ0027,Supermercado Unidade 27,Atacarejo,Nordeste,GO,Campinas,Morumbi,3999,2011-12-02,Ativa
28,LJ0028,Supermercado Unidade 28,Loja de Bairro,Centro-Oeste,PE,Curitiba,Perdizes,4136,2012-01-24,Ativa
29,LJ0029,Supermercado Unidade 29,Loja de Bairro,Norte,CE,Porto Alegre,Bela Vista,4273,2012-03-17,Em reforma
30,LJ0030,Supermercado Unidade 30,Loja de Bairro,Sudeste,SP,Salvador,Centro,4410,2012-05-09,Ativa
31,LJ0031,Supermercado Unidade 31,Hipermercado,Sul,RJ,Goiânia,Jardins,4547,2012-07-01,Ativa
32,LJ0032,Supermercado Unidade 32,Hipermercado,Nordeste,MG,Recife,Moema,4684,2012-08-23,Ativa
33,LJ0033,Supermercado Unidade 33,Supermercado,Centro-Oeste,PR,Fortaleza,Tatuapé,4821,2012-10-15,Ativa
34,LJ0034,Supermercado Unidade 34,Supermercado,Norte,SC,Santos,Pinheiros,4958,2012-12-07,Ativa
