sk_produto,codigo_produto,ean,nome_produto,marca,departamento,categoria,subcategoria,unidade_medida,peso_liquido_g,produto_marca_propria,perecivel,fornecedor_padrao_sk,preco_lista,custo_unitario,margem_base_pct,ativo,ativo_flag
1,PRD000001,7890000000001,Feijão Premium 1,Marca B,Mercearia,Sucos,Premium,KG,123.0,0,1,1,4.3,3.1,25.0,1,True
2,PRD000002,7890000000002,Macarrão Integral 2,Marca C,Bebidas,Banho,Diet,G,196.0,0,1,2,5.4,3.67,32.0,1,True
3,PRD000003,7890000000003,Leite Light 3,Marca D,Higiene,Casa,Light,L,269.0,0,0,3,9.7,6.11,39.0,1,True
4,PRD000004,7890000000004,Refrigerante Zero 4,Marca E,Limpeza,Frios,Zero,ML,342.0,0,0,4,14.2,9.37,46.0,1,True
5,PRD000005,7890000000005,Sabonete Família 5,Marca F,Laticínios,Carnes,Tradicional,CX,415.0,0,0,5,17.5,12.43,20.0,1,True
6,PRD000006,7890000000006,Detergente Econômico 6,Marca G,Açougue,Pães,Orgânico,UN,488.0,0,0,6,26.6,21.01,27.0,1,True
7,PRD000007,7890000000007,Shampoo Natural 7,Marca H,Padaria,Utilidades,Sem Glúten,KG,561.0,0,0,7,26.9,15.87,34.0,1,True
8,PRD000008,7890000000008,Iogurte Suave 8,Marca I,Bazar,Animais,Sem Lactose,G,634.0,0,0,8,38.8,28.71,41.0,1,True
9,PRD000009,7890000000009,Queijo Extra 9,Marca J,Pet,Doces,Kids,L,707.0,0,1,9,45.7,34.73,48.0,1,True
10,PRD000010,7890000000010,Pão Max 10,Marca K,Mercearia,Cereais,Família,ML,780.0,0,1,10,16.0,11.52,22.0,1,True
11,PRD000011,7890000000011,Biscoito Fresh 11,Marca L,Mercearia,Perfumaria,Refil,CX,853.0,1,1,11,17.3,12.46,29.0,1,True
12,PRD000012,7890000000012,Café Plus 12,Marca M,Bebidas,Grãos,Concentrado,UN,926.0,0,0,12,22.4,15.23,36.0,1,True
13,PRD000013,7890000000013,Açúcar Caseiro 13,Marca N,Higiene,Sucos,Mini,KG,999.0,0,0,13,28.7,18.08,43.0,1,True
14,PRD000014,7890000000014,Farinha Artesanal 14,Marca Própria,Limpeza,Banho,Grande,G,1072.0,0,0,14,37.2,24.55,50.0,1,True
15,PRD000015,7890000000015,Óleo Fortificado 15,Marca A,Laticínios,Casa,Econômico,L,1145.0,0,0,15,46.5,33.02,24.0,1,True
16,PRD000016,7890000000016,Água Kids 16,Marca B,Açougue,Frios,Standard,ML,1218.0,0,0,16,57.6,45.5,31.0,1,True
17,PRD000017,7890000000017,Chocolate Original 17,Marca C,Padaria,Carnes,Premium,CX,1291.0,0,0,17,63.9,37.7,38.0,1,True
18,PRD000018,7890000000018,Ração Tradicional 18,Marca D,Bazar,Pães,Diet,UN,1364.0,0,1,18,79.8,59.05,45.0,1,True
19,PRD000019,7890000000019,Absorvente Premium 19,Marca E,Pet,Utilidades,Light,KG,1437.0,0,1,19,88.7,67.41,19.0,1,True
20,PRD000020,7890000000020,Arroz Integral 20,Marca F,Mercearia,Animais,Zero,G,1510.0,0,1,20,29.0,20.88,26.0,1,True
21,PRD000021,7890000000021,Feijão Light 21,Marca G,Mercearia,Doces,Tradicional,L,1583.0,0,0,21,30.3,21.82,33.0,1,True
22,PRD000022,7890000000022,Macarrão Zero 22,Marca H,Bebidas,Cereais,Orgânico,ML,1656.0,1,0,22,39.4,26.79,40.0,1,True
23,PRD000023,7890000000023,Leite Família 23,Marca I,Higiene,Perfumaria,Sem Glúten,CX,1729.0,0,0,23,47.7,30.05,47.0,1,True
24,PRD000024,7890000000024,Refrigerante Econômico 24,Marca J,Limpeza,Grãos,Sem Lactose,UN,1802.0,0,0,24,60.2,39.73,21.0,1,True
25,PRD000025,7890000000025,Sabonete Natural 25,Marca K,Laticínios,Sucos,Kids,KG,1875.0,0,0,25,75.5,53.61,28.0,1,True
26,PRD000026,7890000000026,Detergente Suave 26,Marca L,Açougue,Banho,Família,G,1948.0,0,0,26,88.6,69.99,35.0,1,True
27,PRD000027,7890000000027,Shampoo Extra 27,Marca M,Padaria,Casa,Refil,L,2021.0,0,1,27,100.9,59.53,42.0,1,True
28,PRD000028,7890000000028,Iogurte Max 28,Marca N,Bazar,Frios,Concentrado,ML,2094.0,0,1,28,120.8,89.39,49.0,1,True
29,PRD000029,7890000000029,Queijo Fresh 29,Marca Própria,Pet,Carnes,Mini,CX,2167.0,0,1,29,131.7,100.09,23.0,1,True
30,PRD000030,7890000000030,Pão Plus 30,Marca A,Mercearia,Pães,Grande,UN,2240.0,0,0,30,42.0,30.24,30.0,1,True
31,PRD000031,7890000000031,Biscoito Caseiro 31,Marca B,Mercearia,Utilidades,Econômico,KG,2313.0,0,0,31,43.3,31.18,37.0,1,True
32,PRD000032,7890000000032,Café Artesanal 32,Marca C,Bebidas,Animais,Standard,G,2386.0,0,0,32,56.4,38.35,44.0,1,True
33,PRD000033,7890000000033,Açúcar Fortificado 33,Marca D,Higiene,Doces,Premium,L,2459.0,1,0,33,66.7,42.02,18.0,1,True
34,PRD000034,7890000000034,Farinha Kids 34,Marca E,Limpeza,Cereais,Diet,ML,2532.0,0,0,34,83.2,54.91,25.0,1,True
35,PRD000035,7890000000035,Óleo Original 35,Marca F,Laticínios,Perfumaria,Light,CX,2605.0,0,0,35,104.5,74.2,32.0,1,True
