sk_estoque,sk_tempo,sk_loja,sk_produto,estoque_inicial,entrada,saida,perda,ruptura,estoque_final,cobertura_dias
1,4,6,8,31,13,17,1,0,26,1.53
2,7,11,15,42,26,34,2,0,32,0.94
3,10,16,22,53,39,51,3,0,38,0.75
4,13,21,29,64,52,68,4,0,44,0.65
5,16,26,36,75,65,85,5,0,50,0.59
6,19,31,43,86,78,102,6,0,56,0.55
7,22,36,50,97,91,119,7,0,62,0.52
8,25,41,57,108,104,136,0,0,76,0.56
9,28,46,64,119,117,153,1,0,82,0.54
10,31,51,71,130,130,10,2,0,248,24.8
11,34,56,78,141,143,27,3,0,254,9.41
12,37,61,85,152,156,44,4,0,260,5.91
13,40,66,92,163,169,61,5,0,266,4.36
14,43,71,99,174,2,78,6,0,92,1.18
15,46,76,106,185,15,95,7,0,98,1.03
16,49,81,113,196,28,112,0,0,112,1.0
17,52,1,120,207,41,129,1,0,118,0.91
18,55,6,127,218,54,146,2,0,124,0.85
19,58,11,134,229,67,3,3,0,290,96.67
20,61,16,141,240,80,20,4,0,296,14.8
21,64,21,148,251,93,37,5,0,302,8.16
22,67,26,155,262,106,54,6,0,308,5.7
23,70,31,162,273,119,71,7,0,314,4.42
24,73,36,169,284,132,88,0,0,328,3.73
25,76,41,176,295,145,105,1,0,334,3.18
26,79,46,183,306,158,122,2,0,340,2.79
27,82,51,190,317,171,139,3,0,346,2.49
28,85,56,197,328,4,156,4,0,172,1.1
29,88,61,204,339,17,13,5,0,338,26.0
30,91,66,211,350,30,30,6,0,344,11.47
31,94,71,218,361,43,47,7,0,350,7.45
32,97,76,225,22,56,64,0,0,14,0.22
33,100,81,232,33,69,81,1,0,20,0.25
34,103,1,239,44,82,98,2,0,26,0.27
35,106,6,246,55,95,115,3,0,32,0.28
36,109,11,253,66,108,132,4,0,38,0.29
37,112,16,260,77,121,149,5,0,44,0.3
38,115,21,267,88,134,6,6,0,210,35.0
39,118,26,274,99,147,23,7,0,216,9.39
40,121,31,281,110,160,40,0,0,230,5.75
41,124,36,288,121,173,57,1,0,236,4.14
42,127,41,295,132,6,74,2,0,62,0.84
43,130,46,302,143,19,91,3,0,68,0.75
44,133,51,309,154,32,108,4,0,74,0.69
45,136,56,316,165,45,125,5,0,80,0.64
46,139,61,323,176,58,142,6,0,86,0.61
47,142,66,330,187,71,159,7,0,92,0.58
48,145,71,337,198,84,16,0,0,266,16.63
49,148,76,344,209,97,33,1,0,272,8.24
50,151,81,351,220,110,50,2,0,278,5.56
51,154,1,358,231,123,67,3,0,284,4.24
52,157,6,365,242,136,84,4,0,290,3.45
53,160,11,372,253,149,101,5,0,296,2.93
54,163,16,379,264,162,118,6,0,302,2.56
55,166,21,386,275,175,135,7,0,308,2.28
56,169,26,393,286,8,152,0,0,142,0.93
57,172,31,400,297,21,9,1,0,308,34.22
58,175,36,407,308,34,26,2,0,314,12.08
59,178,41,414,319,47,43,3,0,320,7.44
60,181,46,421,330,60,60,4,0,326,5.43
61,184,51,428,341,73,77,5,0,332,4.31
62,187,56,435,352,86,94,6,0,338,3.6
63,190,61,442,363,99,111,7,0,344,3.1
64,193,66,449,24,112,128,0,0,8,0.06
65,196,71,456,35,125,145,1,0,14,0.1
66,199,76,463,46,138,2,2,0,180,90.0
67,202,81,470,57,151,19,3,0,186,9.79
68,205,1,477,68,164,36,4,0,192,5.33
69,208,6,484,79,177,53,5,0,198,3.74
70,211,11,491,90,10,70,6,0,24,0.34
71,214,16,498,101,23,87,7,0,30,0.34
72,217,21,505,112,36,104,0,0,44,0.42
73,220,26,512,123,49,121,1,0,50,0.41
74,223,31,519,134,62,138,2,0,56,0.41
75,226,36,526,145,75,155,3,0,62,0.4
76,229,41,533,156,88,12,4,0,228,19.0
77,232,46,540,167,101,29,5,0,234,8.07
78,235,51,547,178,114,46,6,0,240,5.22
79,238,56,554,189,127,63,7,0,246,3.9
80,241,61,561,200,140,80,0,0,260,3.25
81,244,66,568,211,153,97,1,0,266,2.74
82,247,71,575,222,166,114,2,0,272,2.39
83,250,76,582,233,179,131,3,0,278,2.12
84,253,81,589,244,12,148,4,0,104,0.7
85,256,1,596,255,25,5,5,0,270,54.0
86,259,6,603,266,38,22,6,0,276,12.55
87,262,11,610,277,51,39,7,0,282,7.23
88,265,16,617,288,64,56,0,0,296,5.29
89,268,21,624,299,77,73,1,0,302,4.14
90,271,26,631,310,90,90,2,0,308,3.42
91,274,31,638,321,103,107,3,0,314,2.93
92,277,36,645,332,116,124,4,0,320,2.58
93,280,41,652,343,129,141,5,0,326,2.31
94,283,46,659,354,142,158,6,0,332,2.1
95,286,51,666,365,155,15,7,0,498,33.2
96,289,56,673,26,168,32,0,0,162,5.06
97,292,61,680,37,1,49,1,1,0,0.0
98,295,66,687,48,14,66,2,1,0,0.0
99,298,71,694,59,27,83,3,1,0,0.0
100,301,76,701,70,40,100,4,0,6,0.06
101,304,81,708,81,53,117,5,0,12,0.1
102,307,1,715,92,66,134,6,0,18,0.13
103,310,6,722,103,79,151,7,0,24,0.16
104,313,11,729,114,92,8,0,0,198,24.75
105,316,16,736,125,105,25,1,0,204,8.16
106,319,21,743,136,118,42,2,0,210,5.0
107,322,26,750,147,131,59,3,0,216,3.66
108,325,31,757,158,144,76,4,0,222,2.92
109,328,36,764,169,157,93,5,0,228,2.45
110,331,41,771,180,170,110,6,0,234,2.13
111,334,46,778,191,3,127,7,0,60,0.47
112,337,51,785,202,16,144,0,0,74,0.51
113,340,56,792,213,29,1,1,0,240,240.0
114,343,61,799,224,42,18,2,0,246,13.67
115,346,66,806,235,55,35,3,0,252,7.2
116,349,71,813,246,68,52,4,0,258,4.96
117,352,76,820,257,81,69,5,0,264,3.83
118,355,81,827,268,94,86,6,0,270,3.14
119,358,1,834,279,107,103,7,0,276,2.68
120,361,6,841,290,120,120,0,0,290,2.42
121,364,11,848,301,133,137,1,0,296,2.16
122,367,16,855,312,146,154,2,0,302,1.96
123,370,21,862,323,159,11,3,0,468,42.55
124,373,26,869,334,172,28,4,0,474,16.93
125,376,31,876,345,5,45,5,0,300,6.67
126,379,36,883,356,18,62,6,0,306,4.94
127,382,41,890,367,31,79,7,0,312,3.95
128,385,46,897,28,44,96,0,1,0,0.0
129,388,51,904,39,57,113,1,1,0,0.0
130,391,56,911,50,70,130,2,1,0,0.0
131,394,61,918,61,83,147,3,1,0,0.0
132,397,66,925,72,96,4,4,0,160,40.0
133,400,71,932,83,109,21,5,0,166,7.9
134,403,76,939,94,122,38,6,0,172,4.53
135,406,81,946,105,135,55,7,0,178,3.24
136,409,1,953,116,148,72,0,0,192,2.67
137,412,6,960,127,161,89,1,0,198,2.22
138,415,11,967,138,174,106,2,0,204,1.92
139,418,16,974,149,7,123,3,0,30,0.24
140,421,21,981,160,20,140,4,0,36,0.26
141,424,26,988,171,33,157,5,0,42,0.27
142,427,31,995,182,46,14,6,0,208,14.86
143,430,36,1002,193,59,31,7,0,214,6.9
144,433,41,1009,204,72,48,0,0,228,4.75
145,436,46,1016,215,85,65,1,0,234,3.6
146,439,51,1023,226,98,82,2,0,240,2.93
147,442,56,1030,237,111,99,3,0,246,2.48
148,445,61,1037,248,124,116,4,0,252,2.17
149,448,66,1044,259,137,133,5,0,258,1.94
150,451,71,1051,270,150,150,6,0,264,1.76
151,454,76,1058,281,163,7,7,0,430,61.43
152,457,81,1065,292,176,24,0,0,444,18.5
